RacaID,lat,long,upedonid,rcasiteid,SOCstock5,SOCstock30,SOCstock100
C0805R03,32.98,-109.15,RaCA11AZGA0006,C0805R03,5.67954078559963,21.7835917549788,66.826961340234
C0611R02,43.31,-109.15,2011WY013036,C0611R02,153.099086477559,918.594518865355,1307.96146237024
C0805R07,32.63,-109.14,RaCA11AZKC036,C0805R07,3.88393085746338,29.303001082523,65.8972295556876
C0601R10,37.96,-109.14,2011UT037005,C0601R10,6.99821920296132,34.2909808111105,55.2231112765714
F0601R08,38.81,-109.14,nan,nan,nan,nan,nan
C0806C17,32.18,-109.13,RaCA11AZBS131,C0806C17,6.5531248246106,32.5707593793937,65.9643004203558
C0810R02,31.63,-109.13,RaCA11AZBS146,C0810R02,6.67013332762875,38.5864936105312,102.437058582958
C0411P04,47.04,-109.13,C0411P04X,C0411P04,25.0308864645679,87.4480257177283,131.325916891568
C0601C01,38.06,-109.12,2011CO037021,C0601C01,3.46635820116083,17.7166132691577,17.7166132691577
C0810R03,32.6,-109.09,RaCA11AZKC046,C0810R03,1.49545407497116,9.79958424878428,16.4921554635333
C0804R01,35.34,-109.09,RaCA11AZGA0056,C0804R01,1.49130600638981,3.70701342746014,3.70701342746014
C0805R05,36.03,-109.08,RaCA10AZDW0041,C0805R05,8.05779170606173,38.982119096478,47.8557007225305
F0606R01,39.35,-109.06,2011UT019041,F0606R01,2.18040888545693,10.7799220481046,24.1056346978296
C0807C04,32.7,-109.06,RaCA11AZBS066,C0807C04,6.60422760827576,36.1178751796906,88.8708085680609
C0814W02,32.6,-109.06,RaCA11AZKC041,C0814W02,1.91093287837679,14.0585781900721,36.4596937669889
C0807R04,32.67,-109.05,RaCA11AZBS076,C0807R04,1.30278751918317,6.47794638561047,14.7042341143886
C0412R39,48.75,-109.05,C0412R39X,C0412R39,30.4574375703235,77.0706072216889,102.118225139062
C0812C06,31.8,-109.05,RaCA11AZKC171,C0812C06,4.78807886446597,25.710091557861,57.9962968868683
C0606R03,38.94,-109.04,2011CO077021,C0606R03,5.03700846390567,22.4367614865321,43.3780276009638
C0412R27,47.18,-109.04,C0412R27X,C0412R27,26.8056754279228,116.541822664079,145.183820119506
C0607P04,37.83,-109.03,2011CO033021,C0607P04,5.64752858987024,31.4700984734347,78.497102807546
F0607F02,38.3,-109.03,2011CO085021,F0607F02,7.5271110641645,31.8114679635832,51.6924155321049
C0401R01,45.36,-109.02,C0401R01X,C0401R01,11.9180188930311,54.3764135182733,83.1245885427183
C0801C02,32.68,-109.02,RaCA11AZBS071,C0801C02,16.7310338676039,68.8681238846038,123.475537685655
C0401R06,45.53,-109.01,C0401R06X,C0401R06,15.6006045623916,49.9093818949466,88.1634142839179
C0411W02,45.39,-109.01,C0411W02X,C0411W02,10.0296564760074,59.1192571111381,135.121781939572
C0601X01,37.92,-108.99,2011CO113006,C0601X01,18.5832139025517,50.8608565958457,149.045819112345
C0607X01,37.8,-108.99,2011CO033006,C0607X01,4.52682204967181,23.5232046707063,55.8354616870087
C0607X03,37.8,-108.98,2011CO033001,C0607X03,3.70407278674371,21.1095909070804,30.9297104661327
C0805R04,35.28,-108.98,RaCA11NMJG0021,C0805R04,6.70081196038325,35.0663366574843,67.8918801283231
F0603F02,40.98,-108.97,2011CO081036,F0603F02,152.296344905148,249.298092258962,260.565025729584
C0607P01,37.65,-108.95,2011CO033016,C0607P01,4.86248353271653,24.2489986294414,54.7772822740027
C0805F04,36.02,-108.95,RaCA11AZMC0051,C0805F04,10.1276944481371,39.2578632543833,75.3708949017232
C0803R05,36.15,-108.95,RaCA10NMDW0036,C0803R05,28.7413956389746,104.010757433268,176.10950695035
C0607X02,37.9,-108.94,2011CO113011,C0607X02,10.165105733272,42.1282516082698,121.565122569537
C0403P52,45.23,-108.94,C0403P52X,C0403P52,20.0602717010488,87.6038683980704,131.576565310471
C0403R56,45.19,-108.93,C0403R56X,C0403R56,7.10381503732684,26.8492723025909,77.5800100158622
C0802R07,35.48,-108.92,RaCA11NMJG0130,C0802R07,7.23536496985351,31.9426721197498,97.9005578525099
F0601R11,37.42,-108.92,2011CO083046,F0601R11,4.66678489538039,20.3630361439929,33.1644071271172
F0606F01,37.41,-108.91,2011CO083056,F0606F01,15.6767277493443,44.025013003521,61.3373353967652
C0607R03,37.43,-108.91,2011CO008026,C0607R03,4.71859801735683,18.2445698692393,40.4398476779477
C0709C01,45.33,-108.91,C0709C01-1,C0709C01,6.9747377710137,34.8465393743317,92.0892181957064
F0601F04,39.81,-108.91,2011CO103046,F0601F04,6.14006616330239,78.6786790514792,142.044079449822
F0606F05,37.45,-108.9,2011CO083061,F0606F05,8.73956018843763,34.6918843040377,40.8895418104942
C0803F05,36.22,-108.9,RaCA11NMJG0185,C0803F05,3.83407503893157,19.067743593016,48.0523553080027
C0812C05,32.09,-108.9,RaCA11AZBS141,C0812C05,1.12785910760896,9.05186676439593,28.2016661567468
C0705R11,47.05,-108.89,nan,nan,nan,nan,nan
C0601R02,40.59,-108.89,2011CO081066,C0601R02,12.3423987819414,46.8683652041821,57.7787796470308
C0801R01,32.12,-108.88,RaCA11AZKC166,C0801R01,1.58069257434778,NA,NA
F0601F08,38.46,-108.87,2011CO085016,F0601F08,2.3031955366543,72.6969959030747,87.7997181099788
